Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/05  23:10:00,23.2,1.0,81.0,0.0,0.0 
 03/05  23:20:00,23.3,0.9,162.0,0.0,0.0 
 03/05  23:30:00,23.3,0.7,155.0,0.0,0.0 
 03/05  23:40:00,22.8,0.4,226.0,0.0,0.0 
 03/05  23:50:00,22.9,0.3,246.0,0.0,0.0 
 03/05  24:00:00,22.8,1.2,208.0,0.0,0.0 
 03/06  00:10:00,22.7,1.7,130.0,0.0,0.0 
 03/06  00:20:00,22.7,0.5,120.0,0.0,0.0 
 03/06  00:30:00,22.8,0.2,103.0,0.0,0.0 
 03/06  00:40:00,22.6,0.5,132.0,0.0,0.0 
 03/06  00:50:00,22.6,0.0,187.0,0.0,0.0 
 03/06  01:00:00,22.7,0.0,29.0,0.0,0.0 
 03/06  01:10:00,22.4,1.0,181.0,0.0,0.0 
 03/06  01:20:00,22.1,1.7,213.0,0.0,0.0 
 03/06  01:30:00,21.2,2.2,273.0,0.0,0.0 
 03/06  01:40:00,21.1,2.1,331.0,0.0,0.0 
 03/06  01:50:00,21.4,2.3,336.0,0.0,0.0 
 03/06  02:00:00,21.3,2.3,337.0,0.0,0.0 
 03/06  02:10:00,20.8,2.3,343.0,0.0,0.0 
 03/06  02:20:00,20.3,2.5,338.0,0.0,0.0 
 03/06  02:30:00,19.7,2.4,331.0,0.0,0.0 
 03/06  02:40:00,20.5,2.2,338.0,0.0,0.0 
 03/06  02:50:00,20.3,2.2,338.0,0.0,0.0 
 03/06  03:00:00,19.8,2.0,329.0,0.0,0.0 
 03/06  03:10:00,19.7,1.9,331.0,0.0,0.0 
 03/06  03:20:00,19.7,2.1,336.0,0.0,0.0 
 03/06  03:30:00,19.5,2.3,350.0,0.0,0.0 
 03/06  03:40:00,19.3,2.1,354.0,0.0,0.0 
 03/06  03:50:00,19.2,1.7,276.0,0.0,0.0 
 03/06  04:00:00,19.1,1.5,333.0,0.0,0.0 
 03/06  04:10:00,18.9,1.9,332.0,0.0,0.0 
 03/06  04:20:00,19.4,1.8,334.0,0.0,0.0 
 03/06  04:30:00,19.0,2.0,334.0,0.0,0.0 
 03/06  04:40:00,18.7,2.0,338.0,0.0,0.0 
 03/06  04:50:00,18.9,2.0,346.0,0.0,0.0 
 03/06  05:00:00,18.6,2.2,349.0,0.0,0.0 
 03/06  05:10:00,18.4,2.3,41.0,0.0,0.0 
 03/06  05:20:00,18.7,2.3,22.0,0.0,0.0 
 03/06  05:30:00,18.9,1.8,23.0,0.0,0.0 
 03/06  05:40:00,19.0,1.6,14.0,0.0,0.0 
 03/06  05:50:00,19.1,1.5,144.0,0.0,0.0 
 03/06  06:00:00,19.1,1.7,345.0,0.0,0.0 
 03/06  06:10:00,19.4,2.0,351.0,0.0,0.0 
 03/06  06:20:00,19.0,2.1,353.0,0.0,0.0 
 03/06  06:30:00,18.4,2.1,41.0,0.0,0.0 
 03/06  06:40:00,18.3,2.1,251.0,0.0,0.0 
 03/06  06:50:00,18.5,2.0,350.0,0.0,0.0 
 03/06  07:00:00,18.2,1.8,249.0,0.0,0.0 
 03/06  07:10:00,18.2,2.1,313.0,1.756,1.9527336208631434 
 03/06  07:20:00,18.6,2.2,211.0,10.35,12.221028729600087 
 03/06  07:30:00,18.8,2.0,179.0,22.59,31.273018941462567 
 03/06  07:40:00,19.1,1.4,341.0,35.58,56.0952986337306 
 03/06  07:50:00,19.5,1.4,351.0,48.92,85.65367571774959 
 03/06  08:00:00,19.9,1.5,80.0,61.98,118.83054078454853 
